Year,Total pending start-year,Of which UNHCR-assisted,Applied during year,Decision Recognized,Decisions Other,Rejected,Otherwise closed,Total Decisions,Total Pending End-year,Of which UNHCR-assisted2
2006,6967,916,4721,553,292,2076,1243,4164,7513,1066
2007,6688,1120,6639,533,306,3718,2364,6921,6868,1192
2008,7024,1211,6941,654,315,5049,1758,7776,5989,1326
2009,6030,1316,7039,826,200,4106,2459,7591,5570,515
2010,7654,585,8361,1383,321,4156,1407,7267,9764,1674
2011,9927,1661,14251,2123,702,2681,1241,6747,14456,4936
2012,14692,5003,35239,7361,12008,1813,4743,25925,26023,4748
2013,22272,4740,70583,14696,26219,3893,9231,54039,41037,10342
2014,40215,10415,174937,61348,34737,4333,28179,128597,79670,13113
2015,103496,31737,416827,163064,27430,5415,67672,263581,245857,32245
